DATE,TAVG,TMAX,TMIN
1/1/2010,,43,28
1/2/2010,,28,18
1/3/2010,,26,14
1/4/2010,,32,21
1/5/2010,,35,27
1/6/2010,,37,28
1/7/2010,,37,28
1/8/2010,,32,22
1/9/2010,,36,22
1/10/2010,,31,19
1/11/2010,,37,13
1/12/2010,,34,27
1/13/2010,,44,23
1/14/2010,,53,19
1/15/2010,,55,21
1/16/2010,,52,27
1/17/2010,,44,35
1/18/2010,,55,31
1/19/2010,,60,28
1/20/2010,,43,34
1/21/2010,,43,28
1/22/2010,,39,34
1/23/2010,,47,28
1/24/2010,,57,34
1/25/2010,,65,44
1/26/2010,,44,33
1/27/2010,,44,26
1/28/2010,,52,25
1/29/2010,,26,18
1/30/2010,,21,17
1/31/2010,,33,11
2/1/2010,,38,6
2/2/2010,,40,15
2/3/2010,,40,27
2/4/2010,,40,27
2/5/2010,,35,30
2/6/2010,,32,10
2/7/2010,,31,7
2/8/2010,,32,13
2/9/2010,,35,10
2/10/2010,,30,20
2/11/2010,,38,28
2/12/2010,,37,23
2/13/2010,,32,26
2/14/2010,,38,19
2/15/2010,,37,9
2/16/2010,,35,20
2/17/2010,,36,21
2/18/2010,,42,32
2/19/2010,,42,35
2/20/2010,,42,29
2/21/2010,,50,23
2/22/2010,,44,30
2/23/2010,,44,35
2/24/2010,,44,31
2/25/2010,,40,30
2/26/2010,,37,29
2/27/2010,,45,31
2/28/2010,,46,34
3/1/2010,,49,35
3/2/2010,,43,32
3/3/2010,,43,36
3/4/2010,,46,33
3/5/2010,,51,32
3/6/2010,,52,31
3/7/2010,,59,33
3/8/2010,,60,29
3/9/2010,,66,29
3/10/2010,,67,38
3/11/2010,,69,42
3/12/2010,,56,49
3/13/2010,,55,49
3/14/2010,,50,48
3/15/2010,,51,47
3/16/2010,,63,38
3/17/2010,,68,34
3/18/2010,,69,33
3/19/2010,,73,36
3/20/2010,,76,36
3/21/2010,,78,40
3/22/2010,,67,53
3/23/2010,,53,42
3/24/2010,,68,44
3/25/2010,,74,40
3/26/2010,,55,37
3/27/2010,,51,30
3/28/2010,,61,40
3/29/2010,,59,49
3/30/2010,,58,44
3/31/2010,,73,46
4/1/2010,,79,39
4/2/2010,,80,47
4/3/2010,,76,50
4/4/2010,,77,53
4/5/2010,,86,51
4/6/2010,,93,61
4/7/2010,,91,65
4/8/2010,,85,56
4/9/2010,,58,45
4/10/2010,,68,41
4/11/2010,,78,38
4/12/2010,,73,50
4/13/2010,,53,46
4/14/2010,,63,43
4/15/2010,,78,38
4/16/2010,,85,56
4/17/2010,,67,42
4/18/2010,,57,32
4/19/2010,,68,37
4/20/2010,,68,40
4/21/2010,,59,45
4/22/2010,,75,47
4/23/2010,,73,45
4/24/2010,,60,48
4/25/2010,,80,52
4/26/2010,,65,53
4/27/2010,,64,43
4/28/2010,,61,37
4/29/2010,,73,35
4/30/2010,,85,41
5/1/2010,,90,57
5/2/2010,,88,70
5/3/2010,,83,67
5/4/2010,,82,59
5/5/2010,,84,50
5/6/2010,,83,61
5/7/2010,,78,48
5/8/2010,,76,54
5/9/2010,,63,47
5/10/2010,,67,34
5/11/2010,,55,39
5/12/2010,,79,53
5/13/2010,,63,52
5/14/2010,,89,59
5/15/2010,,80,56
5/16/2010,,74,57
5/17/2010,,64,53
5/18/2010,,60,51
5/19/2010,,62,47
5/20/2010,,81,47
5/21/2010,,86,51
5/22/2010,,77,63
5/23/2010,,75,65
5/24/2010,,78,64
5/25/2010,,80,60
5/26/2010,,87,58
5/27/2010,,92,65
5/28/2010,,76,63
5/29/2010,,81,67
5/30/2010,,87,64
5/31/2010,,90,65
6/1/2010,,86,70
6/2/2010,,87,62
6/3/2010,,89,68
6/4/2010,,89,67
6/5/2010,,89,66
6/6/2010,,87,66
6/7/2010,,75,58
6/8/2010,,77,50
6/9/2010,,73,61
6/10/2010,,88,64
6/11/2010,,85,59
6/12/2010,,91,68
6/13/2010,,91,71
6/14/2010,,90,72
6/15/2010,,78,68
6/16/2010,,80,71
6/17/2010,,84,67
6/18/2010,,84,58
6/19/2010,,91,63
6/20/2010,,91,71
6/21/2010,,89,66
6/22/2010,,94,66
6/23/2010,,95,67
6/24/2010,,97,73
6/25/2010,,89,68
6/26/2010,,92,65
6/27/2010,,97,67
6/28/2010,,94,73
6/29/2010,,90,74
6/30/2010,,81,63
7/1/2010,,79,59
7/2/2010,,81,53
7/3/2010,,87,52
7/4/2010,,95,57
7/5/2010,,96,64
7/6/2010,,100,69
7/7/2010,,101,73
7/8/2010,,95,78
7/9/2010,,91,74
7/10/2010,,84,71
7/11/2010,,90,64
7/12/2010,,84,65
7/13/2010,,85,71
7/14/2010,,88,71
7/15/2010,,91,69
7/16/2010,,96,71
7/17/2010,,92,71
7/18/2010,,92,71
7/19/2010,,91,71
7/20/2010,,90,69
7/21/2010,,90,73
7/22/2010,,95,72
7/23/2010,,96,68
7/24/2010,,99,78
7/25/2010,,98,74
7/26/2010,,88,67
7/27/2010,,87,62
7/28/2010,,93,71
7/29/2010,,92,73
7/30/2010,,85,66
7/31/2010,,85,63
8/1/2010,,81,65
8/2/2010,,82,69
8/3/2010,,84,72
8/4/2010,,93,73
8/5/2010,,95,70
8/6/2010,,90,69
8/7/2010,,85,59
8/8/2010,,88,62
8/9/2010,,92,71
8/10/2010,,95,73
8/11/2010,,97,72
8/12/2010,,90,71
8/13/2010,,76,70
8/14/2010,,82,67
8/15/2010,,79,71
8/16/2010,,90,71
8/17/2010,,89,72
8/18/2010,,80,67
8/19/2010,,86,67
8/20/2010,,90,65
8/21/2010,,88,68
8/22/2010,,88,72
8/23/2010,,85,68
8/24/2010,,73,65
8/25/2010,,81,64
8/26/2010,,85,63
8/27/2010,,82,60
8/28/2010,,86,62
8/29/2010,,91,61
8/30/2010,,94,63
8/31/2010,,95,61
9/1/2010,,96,65
9/2/2010,,93,65
9/3/2010,,90,72
9/4/2010,,82,61
9/5/2010,,79,54
9/6/2010,,84,56
9/7/2010,,92,63
9/8/2010,,93,69
9/9/2010,,79,56
9/10/2010,,76,53
9/11/2010,,79,47
9/12/2010,,76,61
9/13/2010,,87,56
9/14/2010,,81,56
9/15/2010,,86,51
9/16/2010,,85,58
9/17/2010,,78,60
9/18/2010,,79,54
9/19/2010,,86,52
9/20/2010,,80,53
9/21/2010,,80,46
9/22/2010,,94,63
9/23/2010,,93,64
9/24/2010,,97,64
9/25/2010,,93,68
9/26/2010,,73,59
9/27/2010,,76,62
9/28/2010,,81,62
9/29/2010,,66,52
9/30/2010,,79,61
10/1/2010,,73,58
10/2/2010,,70,45
10/3/2010,,67,47
10/4/2010,,56,48
10/5/2010,,61,40
10/6/2010,,59,50
10/7/2010,,74,47
10/8/2010,,77,44
10/9/2010,,83,48
10/10/2010,,79,49
10/11/2010,,86,56
10/12/2010,,83,55
10/13/2010,,68,48
10/14/2010,,62,48
10/15/2010,,62,47
10/16/2010,,66,43
10/17/2010,,77,41
10/18/2010,,66,44
10/19/2010,,61,48
10/20/2010,,59,47
10/21/2010,,67,41
10/22/2010,,58,38
10/23/2010,,71,33
10/24/2010,,75,51
10/25/2010,,74,54
10/26/2010,,75,61
10/27/2010,,74,65
10/28/2010,,78,50
